image_path,crowding,confidence
Teeth or Dental Image Dataset/Upper Front/UF 0128.jpg,0,0.85
Teeth or Dental Image Dataset/Upper Front/UF 0129.jpg,0,0.85
Teeth or Dental Image Dataset/Upper Front/UF 0130.jpg,0,0.85
Teeth or Dental Image Dataset/Upper Front/UF 0131.jpg,1,0.85
Teeth or Dental Image Dataset/Upper Front/UF 0132.jpg,0,0.92
Teeth or Dental Image Dataset/Upper Front/UF 0133.jpg,0,0.85
Teeth or Dental Image Dataset/Upper Front/UF 0134.jpg,0,0.85
Teeth or Dental Image Dataset/Upper Front/UF 0135.jpg,0,0.85
Teeth or Dental Image Dataset/Upper Front/UF 0136.jpg,0,0.85
Teeth or Dental Image Dataset/Upper Front/UF 0137.jpg,0,0.85
Teeth or Dental Image Dataset/Upper Front/UF 0138.jpg,0,0.95
Teeth or Dental Image Dataset/Upper Front/UF 0139.jpg,0,0.85
Teeth or Dental Image Dataset/Upper Front/UF 0140.jpg,0,0.85
Teeth or Dental Image Dataset/Upper Front/UF 0141.jpg,0,0.75
Teeth or Dental Image Dataset/Upper Front/UF 0142.jpg,1,0.85
Teeth or Dental Image Dataset/Upper Front/UF 0143.jpg,0,0.85
Teeth or Dental Image Dataset/Upper Front/UF 0144.jpg,0,0.85
Teeth or Dental Image Dataset/Upper Front/UF 0145.jpg,0,0.92
Teeth or Dental Image Dataset/Upper Front/UF 0146.jpg,0,0.92
Teeth or Dental Image Dataset/Upper Front/UF 0147.jpg,0,0.85
Teeth or Dental Image Dataset/Upper Front/UF 0148.jpg,0,0.85
Teeth or Dental Image Dataset/Upper Front/UF 0149.jpg,0,0.85
Teeth or Dental Image Dataset/Upper Front/UF 0150.jpg,0,0.92
Teeth or Dental Image Dataset/Upper Front/UF 0151.jpg,0,0.95
Teeth or Dental Image Dataset/Upper Front/UF 0152.jpg,0,0.85
Teeth or Dental Image Dataset/Upper Front/UF 0153.jpg,0,0.85
Teeth or Dental Image Dataset/Upper Front/UF 0154.jpg,0,0.95
Teeth or Dental Image Dataset/Upper Front/UF 0155.jpg,0,0.92
Teeth or Dental Image Dataset/Upper Front/UF 0156.jpg,1,0.85
Teeth or Dental Image Dataset/Upper Front/UF 0157.jpg,0,0.85
Teeth or Dental Image Dataset/Upper Front/UF 0158.jpg,1,0.85
Teeth or Dental Image Dataset/Upper Front/UF 0159.jpg,0,0.85
Teeth or Dental Image Dataset/Upper Front/UF 0160.jpg,0,0.85
Teeth or Dental Image Dataset/Upper Front/UF 0161.jpg,1,0.85
Teeth or Dental Image Dataset/Upper Front/UF 0162.jpg,1,0.85
Teeth or Dental Image Dataset/Upper Front/UF 0163.jpg,0,0.85
Teeth or Dental Image Dataset/Upper Front/UF 0164.jpg,0,0.85
Teeth or Dental Image Dataset/Upper Front/UF 0165.jpg,0,0.92
Teeth or Dental Image Dataset/Upper Front/UF 0166.jpg,0,0.85
Teeth or Dental Image Dataset/Upper Front/UF 0167.jpg,1,0.85
Teeth or Dental Image Dataset/Upper Front/UF 0168.jpg,1,0.85
Teeth or Dental Image Dataset/Upper Front/UF 0169.jpg,0,0.85
Teeth or Dental Image Dataset/Upper Front/UF 0170.jpg,0,0.85
Teeth or Dental Image Dataset/Upper Front/UF 0171.jpg,0,0.85
Teeth or Dental Image Dataset/Upper Front/UF 0172.jpg,0,0.85
Teeth or Dental Image Dataset/Upper Front/UF 0173.jpg,0,0.85
Teeth or Dental Image Dataset/Upper Front/UF 0174.jpg,0,0.92
Teeth or Dental Image Dataset/Upper Front/UF 0175.jpg,0,0.95
Teeth or Dental Image Dataset/Upper Front/UF 0176.jpg,0,0.85
Teeth or Dental Image Dataset/Upper Front/UF 0177.jpg,0,0.95
Teeth or Dental Image Dataset/Upper Front/UF 0178.jpg,0,0.85
Teeth or Dental Image Dataset/Upper Front/UF 0179.jpg,0,0.85
Teeth or Dental Image Dataset/Upper Front/UF 0180.jpg,1,0.85
Teeth or Dental Image Dataset/Upper Front/UF 0181.jpg,0,0.85
Teeth or Dental Image Dataset/Upper Front/UF 0182.jpg,0,0.85
Teeth or Dental Image Dataset/Upper Front/UF 0183.jpg,0,0.85
Teeth or Dental Image Dataset/Upper Front/UF 0184.jpg,0,0.85
Teeth or Dental Image Dataset/Upper Front/UF 0185.jpg,0,0.85
Teeth or Dental Image Dataset/Upper Front/UF 0186.jpg,0,0.85
Teeth or Dental Image Dataset/Upper Front/UF 0187.jpg,0,0.85
Teeth or Dental Image Dataset/Upper Front/UF 0188.jpg,0,0.85
Teeth or Dental Image Dataset/Upper Front/UF 0189.jpg,0,0.85
Teeth or Dental Image Dataset/Upper Front/UF 0190.jpg,0,0.85
Teeth or Dental Image Dataset/Upper Front/UF 0191.jpg,1,0.85
Teeth or Dental Image Dataset/Upper Front/UF 0192.jpg,0,0.85
Teeth or Dental Image Dataset/Upper Front/UF 0193.jpg,0,0.85
Teeth or Dental Image Dataset/Upper Front/UF 0194.jpg,0,0.85
Teeth or Dental Image Dataset/Upper Front/UF 0195.jpg,0,0.85
Teeth or Dental Image Dataset/Upper Front/UF 0196.jpg,0,0.85
Teeth or Dental Image Dataset/Upper Front/UF 0197.jpg,0,0.95
Teeth or Dental Image Dataset/Upper Front/UF 0198.jpg,0,0.85
Teeth or Dental Image Dataset/Upper Front/UF 0199.jpg,0,0.85
Teeth or Dental Image Dataset/Upper Front/UF 0200.jpg,0,0.95
Teeth or Dental Image Dataset/Upper Front/UF 0201.jpg,0,0.85
Teeth or Dental Image Dataset/Upper Front/UF 0202.jpg,0,0.85
Teeth or Dental Image Dataset/Upper Front/UF 0203.jpg,0,0.85
Teeth or Dental Image Dataset/Upper Front/UF 0204.jpg,0,0.92
Teeth or Dental Image Dataset/Upper Front/UF 0205.jpg,0,0.85
Teeth or Dental Image Dataset/Upper Front/UF 0206.jpg,1,0.85
Teeth or Dental Image Dataset/Upper Front/UF 0207.jpg,0,0.85
Teeth or Dental Image Dataset/Upper Front/UF 0208.jpg,0,0.85
Teeth or Dental Image Dataset/Upper Front/UF 0209.jpg,0,0.85
Teeth or Dental Image Dataset/Upper Front/UF 0210.jpg,0,0.85
Teeth or Dental Image Dataset/Upper Front/UF 0211.jpg,0,0.95
Teeth or Dental Image Dataset/Upper Front/UF 0212.jpg,1,0.85
Teeth or Dental Image Dataset/Upper Front/UF 0213.jpg,0,0.85
Teeth or Dental Image Dataset/Upper Front/UF 0214.jpg,0,0.85
Teeth or Dental Image Dataset/Upper Front/UF 0215.jpg,0,0.85
Teeth or Dental Image Dataset/Upper Front/UF 0216.jpg,0,0.85
Teeth or Dental Image Dataset/Upper Front/UF 0217.jpg,0,0.85
Teeth or Dental Image Dataset/Upper Front/UF 0218.jpg,1,0.85
Teeth or Dental Image Dataset/Upper Front/UF 0219.jpg,0,0.85
Teeth or Dental Image Dataset/Upper Front/UF 0220.jpg,0,0.85
Teeth or Dental Image Dataset/Upper Front/UF 0221.jpg,0,0.85
Teeth or Dental Image Dataset/Upper Front/UF 0222.jpg,0,0.85
Teeth or Dental Image Dataset/Upper Front/UF 0223.jpg,0,0.85
Teeth or Dental Image Dataset/Upper Front/UF 0224.jpg,0,0.92
Teeth or Dental Image Dataset/Upper Front/UF 0225.jpg,1,0.85
Teeth or Dental Image Dataset/Upper Front/UF 0226.jpg,0,0.85
Teeth or Dental Image Dataset/Upper Front/UF 0227.jpg,0,0.85
Teeth or Dental Image Dataset/Upper Front/UF 0228.jpg,0,0.85
Teeth or Dental Image Dataset/Upper Front/UF 0229.jpg,0,0.85
Teeth or Dental Image Dataset/Upper Front/UF 0230.jpg,0,0.85
Teeth or Dental Image Dataset/Upper Front/UF 0231.jpg,1,0.85
Teeth or Dental Image Dataset/Upper Front/UF 0232.jpg,0,0.85
Teeth or Dental Image Dataset/Upper Front/UF 0233.jpg,0,0.85
Teeth or Dental Image Dataset/Upper Front/UF 0234.jpg,0,0.85
Teeth or Dental Image Dataset/Upper Front/UF 0235.jpg,0,0.85
Teeth or Dental Image Dataset/Upper Front/UF 0236.jpg,1,0.75
Teeth or Dental Image Dataset/Upper Front/UF 0237.jpg,0,0.85
Teeth or Dental Image Dataset/Upper Front/UF 0238.jpg,1,0.85
Teeth or Dental Image Dataset/Upper Front/UF 0239.jpg,1,0.85
Teeth or Dental Image Dataset/Upper Front/UF 0240.jpg,0,0.85
Teeth or Dental Image Dataset/Upper Front/UF 0241.jpg,1,0.85
Teeth or Dental Image Dataset/Upper Front/UF 0242.jpg,0,0.85
Teeth or Dental Image Dataset/Upper Front/UF 0243.jpg,0,0.85
Teeth or Dental Image Dataset/Upper Front/UF 0244.jpg,0,0.85
Teeth or Dental Image Dataset/Upper Front/UF 0245.jpg,1,0.85
Teeth or Dental Image Dataset/Upper Front/UF 0246.jpg,0,0.85
Teeth or Dental Image Dataset/Upper Front/UF 0247.jpg,0,0.85
Teeth or Dental Image Dataset/Upper Front/UF 0248.jpg,0,0.85
Teeth or Dental Image Dataset/Upper Front/UF 0249.jpg,0,0.85
Teeth or Dental Image Dataset/Upper Front/UF 0250.jpg,0,0.85
Teeth or Dental Image Dataset/Upper Front/UF 0251.jpg,0,0.85
Teeth or Dental Image Dataset/Upper Front/UF 0252.jpg,0,0.75
Teeth or Dental Image Dataset/Upper Front/UF 0253.jpg,0,0.85
Teeth or Dental Image Dataset/Upper Front/UF 0254.jpg,0,0.85
Teeth or Dental Image Dataset/Upper Front/UF 0255.jpg,0,0.85
Teeth or Dental Image Dataset/Upper Front/UF 0256.jpg,0,0.85
Teeth or Dental Image Dataset/Upper Front/UF 0257.jpg,0,0.85
Teeth or Dental Image Dataset/Upper Front/UF 0258.jpg,0,0.85
Teeth or Dental Image Dataset/Upper Front/UF 0259.jpg,0,0.85
Teeth or Dental Image Dataset/Upper Front/UF 0260.jpg,1,0.85
Teeth or Dental Image Dataset/Upper Front/UF 0261.jpg,0,0.92
Teeth or Dental Image Dataset/Upper Front/UF 0262.jpg,0,0.85
Teeth or Dental Image Dataset/Upper Front/UF 0263.jpg,0,0.85
Teeth or Dental Image Dataset/Upper Front/UF 0264.jpg,0,0.85
Teeth or Dental Image Dataset/Upper Front/UF 0265.jpg,0,0.92
Teeth or Dental Image Dataset/Upper Front/UF 0266.jpg,0,0.85
Teeth or Dental Image Dataset/Upper Front/UF 0267.jpg,0,0.85
Teeth or Dental Image Dataset/Upper Front/UF 0268.jpg,0,0.85
Teeth or Dental Image Dataset/Upper Front/UF 0269.jpg,0,0.85
Teeth or Dental Image Dataset/Upper Front/UF 0270.jpg,0,0.85
Teeth or Dental Image Dataset/Upper Front/UF 0271.jpg,0,0.92
Teeth or Dental Image Dataset/Upper Front/UF 0272.jpg,0,0.85
Teeth or Dental Image Dataset/Upper Front/UF 0273.jpg,0,0.85
Teeth or Dental Image Dataset/Upper Front/UF 0274.jpg,0,0.85
Teeth or Dental Image Dataset/Upper Front/UF 0275.jpg,0,0.85
Teeth or Dental Image Dataset/Upper Front/UF 0276.jpg,0,0.85
Teeth or Dental Image Dataset/Upper Front/UF 0277.jpg,0,0.85
Teeth or Dental Image Dataset/Upper Front/UF 0278.jpg,0,0.85
Teeth or Dental Image Dataset/Upper Front/UF 0279.jpg,0,0.85
Teeth or Dental Image Dataset/Upper Front/UF 0280.jpg,0,0.85
Teeth or Dental Image Dataset/Upper Front/UF 0281.jpg,0,0.85
Teeth or Dental Image Dataset/Upper Front/UF 0282.jpg,0,0.85
Teeth or Dental Image Dataset/Upper Front/UF 0283.jpg,0,0.85
Teeth or Dental Image Dataset/Upper Front/UF 0284.jpg,0,0.85
Teeth or Dental Image Dataset/Upper Front/UF 0285.jpg,0,0.92
Teeth or Dental Image Dataset/Upper Front/UF 0286.jpg,0,0.85
Teeth or Dental Image Dataset/Upper Front/UF 0287.jpg,0,0.85
Teeth or Dental Image Dataset/Upper Front/UF 0288.jpg,0,0.85
Teeth or Dental Image Dataset/Upper Front/UF 0289.jpg,0,0.85
Teeth or Dental Image Dataset/Upper Front/UF 0290.jpg,0,0.85
Teeth or Dental Image Dataset/Upper Front/UF 0291.jpg,0,0.85
Teeth or Dental Image Dataset/Upper Front/UF 0292.jpg,0,0.85
Teeth or Dental Image Dataset/Upper Front/UF 0293.jpg,1,0.85
Teeth or Dental Image Dataset/Upper Front/UF 0294.jpg,0,0.85
Teeth or Dental Image Dataset/Upper Front/UF 0295.jpg,0,0.85
Teeth or Dental Image Dataset/Upper Front/UF 0296.jpg,1,0.85
Teeth or Dental Image Dataset/Upper Front/UF 0297.jpg,0,0.95
Teeth or Dental Image Dataset/Upper Front/UF 0298.jpg,0,0.85
Teeth or Dental Image Dataset/Upper Front/UF 0299.jpg,0,0.85
Teeth or Dental Image Dataset/Upper Front/UF 0300.jpg,0,0.85
Teeth or Dental Image Dataset/Upper Front/UF 0301.jpg,0,0.85
Teeth or Dental Image Dataset/Upper Front/UF 0302.jpg,0,0.90
Teeth or Dental Image Dataset/Upper Front/UF 0303.jpg,0,0.85
Teeth or Dental Image Dataset/Upper Front/UF 0304.jpg,0,0.85
Teeth or Dental Image Dataset/Upper Front/UF 0305.jpg,0,0.85
Teeth or Dental Image Dataset/Upper Front/UF 0306.jpg,0,0.92
Teeth or Dental Image Dataset/Upper Front/UF 0307.jpg,0,0.85
Teeth or Dental Image Dataset/Upper Front/UF 0308.jpg,0,0.85
Teeth or Dental Image Dataset/Upper Front/UF 0309.jpg,0,0.85
Teeth or Dental Image Dataset/Upper Front/UF 0310.jpg,0,0.85
Teeth or Dental Image Dataset/Upper Front/UF 0311.jpg,0,0.85
Teeth or Dental Image Dataset/Upper Front/UF 0312.jpg,1,0.85
Teeth or Dental Image Dataset/Upper Front/UF 0313.jpg,0,0.92
Teeth or Dental Image Dataset/Upper Front/UF 0314.jpg,1,0.85
Teeth or Dental Image Dataset/Upper Front/UF 0315.jpg,0,0.85
Teeth or Dental Image Dataset/Upper Front/UF 0316.jpg,1,0.85
Teeth or Dental Image Dataset/Upper Front/UF 0317.jpg,0,0.85
Teeth or Dental Image Dataset/Upper Front/UF 0318.jpg,1,0.85
Teeth or Dental Image Dataset/Upper Front/UF 0319.jpg,0,0.95
Teeth or Dental Image Dataset/Upper Front/UF 0320.jpg,1,0.85
Teeth or Dental Image Dataset/Upper Front/UF 0321.jpg,1,0.85
Teeth or Dental Image Dataset/Upper Front/UF 0322.jpg,0,0.95
Teeth or Dental Image Dataset/Upper Front/UF 0323.jpg,0,0.85
Teeth or Dental Image Dataset/Upper Front/UF 0324.jpg,0,0.85
Teeth or Dental Image Dataset/Upper Front/UF 0325.jpg,0,0.95
Teeth or Dental Image Dataset/Upper Front/UF 0326.jpg,0,0.85
Teeth or Dental Image Dataset/Upper Front/UF 0327.jpg,0,0.85
Teeth or Dental Image Dataset/Upper Front/UF 0328.jpg,1,0.85
Teeth or Dental Image Dataset/Upper Front/UF 0329.jpg,0,0.85
Teeth or Dental Image Dataset/Upper Front/UF 0330.jpg,0,0.85
Teeth or Dental Image Dataset/Upper Front/UF 0331.jpg,0,0.85
Teeth or Dental Image Dataset/Upper Front/UF 0332.jpg,0,0.85
Teeth or Dental Image Dataset/Upper Front/UF 0333.jpg,0,0.85
Teeth or Dental Image Dataset/Upper Front/UF 0334.jpg,0,0.85
Teeth or Dental Image Dataset/Upper Front/UF 0335.jpg,0,0.85
Teeth or Dental Image Dataset/Upper Front/UF 0336.jpg,0,0.85
Teeth or Dental Image Dataset/Upper Front/UF 0337.jpg,1,0.85
Teeth or Dental Image Dataset/Upper Front/UF 0338.jpg,0,0.92
Teeth or Dental Image Dataset/Upper Front/UF 0339.jpg,0,0.85
Teeth or Dental Image Dataset/Upper Front/UF 0340.jpg,0,0.85
Teeth or Dental Image Dataset/Upper Front/UF 0341.jpg,0,0.85
Teeth or Dental Image Dataset/Upper Front/UF 0342.jpg,0,0.92
Teeth or Dental Image Dataset/Upper Front/UF 0343.jpg,1,0.85
Teeth or Dental Image Dataset/Upper Front/UF 0344.jpg,0,0.85
Teeth or Dental Image Dataset/Upper Front/UF 0345.jpg,0,0.85
Teeth or Dental Image Dataset/Upper Front/UF 0346.jpg,0,0.85
Teeth or Dental Image Dataset/Upper Front/UF 0347.jpg,0,0.85
Teeth or Dental Image Dataset/Upper Front/UF 0348.jpg,0,0.85
Teeth or Dental Image Dataset/Upper Front/UF 0349.jpg,0,0.85
Teeth or Dental Image Dataset/Upper Front/UF 0350.jpg,0,0.85
Teeth or Dental Image Dataset/Upper Front/UF 0351.jpg,0,0.85
Teeth or Dental Image Dataset/Upper Front/UF 0352.jpg,0,0.92
Teeth or Dental Image Dataset/Upper Front/UF 0353.jpg,0,0.85
Teeth or Dental Image Dataset/Upper Front/UF 0354.jpg,0,0.85
Teeth or Dental Image Dataset/Upper Front/UF 0355.jpg,0,0.85
Teeth or Dental Image Dataset/Upper Front/UF 0356.jpg,0,0.85
Teeth or Dental Image Dataset/Upper Front/UF 0357.jpg,1,0.85
Teeth or Dental Image Dataset/Upper Front/UF 0358.jpg,0,0.85
Teeth or Dental Image Dataset/Upper Front/UF 0359.jpg,0,0.85
Teeth or Dental Image Dataset/Upper Front/UF 0360.jpg,0,0.85
Teeth or Dental Image Dataset/Upper Front/UF 0361.jpg,1,0.85
Teeth or Dental Image Dataset/Upper Front/UF 0362.jpg,0,0.95
Teeth or Dental Image Dataset/Upper Front/UF 0363.jpg,0,0.92
Teeth or Dental Image Dataset/Upper Front/UF 0364.jpg,0,0.85
Teeth or Dental Image Dataset/Upper Front/UF 0365.jpg,0,0.85
Teeth or Dental Image Dataset/Upper Front/UF 0366.jpg,0,0.92
Teeth or Dental Image Dataset/Upper Front/UF 0367.jpg,0,0.92
Teeth or Dental Image Dataset/Upper Front/UF 0368.jpg,0,0.85
Teeth or Dental Image Dataset/Upper Front/UF 0369.jpg,0,0.85
Teeth or Dental Image Dataset/Upper Front/UF 0370.jpg,0,0.95
Teeth or Dental Image Dataset/Upper Front/UF 0371.jpg,0,0.85
Teeth or Dental Image Dataset/Upper Front/UF 0372.jpg,0,0.85
Teeth or Dental Image Dataset/Upper Front/UF 0373.jpg,0,0.85
Teeth or Dental Image Dataset/Upper Front/UF 0374.jpg,0,0.92
Teeth or Dental Image Dataset/Upper Front/UF 0375.jpg,0,0.85
Teeth or Dental Image Dataset/Upper Front/UF 0376.jpg,0,0.85
Teeth or Dental Image Dataset/Upper Front/UF 0377.jpg,0,0.95
